Liq,SECTOR,"10-08-26
 11:08:02",Jul 28,SCRIP,TODAY,"TODAY
CHNG","SERIES
CHNG",,28 Jul,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,SERIES,LAST 90 DAYS,CHARTS,5 YEAR,10 YEAR
2,METAL,TATASTEEL,183,NSE:TATASTEEL,191,2.0,4.5,,-3.1,2.5,2.2,,3.3,3.9,5.1,3.7,2.8,,,,,,,,,,,,,,,TATASTEEL,,
1,COMN,BHARTIARTL,1905,NSE:BHARTIARTL,1946,-0.7,2.2,,2.7,2.2,2.2,,2.5,2.6,3.1,2.2,2.7,,,,,,,,,,,,,,,BHARTIARTL,,
2,BFSI,PNB,112,NSE:PNB,114,-0.8,2.0,,4.7,-0.6,0.0,,1.2,1.7,1.6,2.4,2.6,,,,,,,,,,,,,,,PNB,,
2,FMCG,ETERNAL,308,NSE:ETERNAL,316,0.3,2.8,,16.0,1.4,0.8,,0.4,1.0,1.1,2.9,2.6,,,,,,,,,,,,,,,ETERNAL,,
,GOODS,BOSCHLTD,41350,NSE:BOSCHLTD,43100,0.4,4.2,,3.4,-0.6,0.6,,-0.4,-0.4,3.5,2.1,2.6,,,,,,,,,,,,,,,BOSCHLTD,,
1,IT,TCS,2398,NSE:TCS,2461,0.4,2.6,,18.0,1.8,1.5,,2.2,1.9,0.7,-1.0,2.4,,,,,,,,,,,,,,,TCS,,
3,GOODS,TRENT,2930,NSE:TRENT,3026,1.0,3.3,,-10.5,2.5,2.5,,3.8,5.0,6.1,6.0,2.3,,,,,,,,,,,,,,,TRENT,,
,POWER,INOXWIND,76,NSE:INOXWIND,75,-3.7,-0.9,,-15.7,1.1,-1.2,,4.5,4.4,3.4,2.9,2.3,,,,,,,,,,,,,,,INOXWIND,,
2,DEFENCE,SOLARINDS,18243,NSE:SOLARINDS,18580,-0.2,1.8,,-2.4,-1.2,-1.1,,2.0,2.6,0.8,1.6,2.2,,,,,,,,,,,,,,,SOLARINDS,,
1,IT,HCLTECH,1321,NSE:HCLTECH,1362,0.4,3.1,,23.2,1.5,2.3,,3.4,2.7,1.4,1.2,2.2,,,,,,,,,,,,,,,HCLTECH,,
,DEFENCE,BDL,1266,NSE:BDL,1284,-0.8,1.4,,-8.1,-0.5,-1.6,,-0.5,-0.1,-2.1,2.6,2.1,,,,,,,,,,,,,,,BDL,,
2,AUTO,BAJAJ-AUTO,11401,NSE:BAJAJ-AUTO,11779,1.0,3.3,,17.6,-0.7,0.4,,1.0,1.4,2.6,1.6,2.1,,,,,,,,,,,,,,,BAJAJ-AUTO,,
,GOODS,PIIND,2705,NSE:PIIND,2753,-0.9,1.8,,5.6,1.6,2.8,,3.9,3.8,4.1,3.5,2.0,,,,,,,,,,,,,,,PIIND,,
2,GOODS,PIDILITIND,1627,NSE:PIDILITIND,1676,0.8,3.0,,2.2,0.2,0.2,,0.0,-0.8,1.2,2.5,2.0,,,,,,,,,,,,,,,PIDILITIND,,
5,BFSI,MOTILALOFS,854,NSE:MOTILALOFS,874,0.4,2.3,,-10.3,0.3,-2.0,,1.6,1.6,3.2,1.5,1.9,,,,,,,,,,,,,,,MOTILALOFS,,
1,AUTO,EICHERMOT,7850,NSE:EICHERMOT,7957,-0.8,1.4,,10.5,-0.7,0.8,,1.5,0.7,1.9,1.1,1.9,,,,,,,,,,,,,,,EICHERMOT,,
2,CEMENT,AMBUJACEM,426,NSE:AMBUJACEM,433,-0.4,1.7,,0.7,2.0,2.2,,3.8,3.3,#N/A,2.5,1.9,,,,,,,,,,,,,#N/A,,AMBUJACEM,,
5,BFSI,NAM-INDIA,1153,NSE:NAM-INDIA,1183,0.6,2.6,,-0.5,1.1,-0.4,,0.8,3.6,5.1,3.5,1.9,,,,,,,,,,,,,,,NAM-INDIA,,
1,JEWEL,TITAN,4858,NSE:TITAN,5104,3.3,5.1,,9.8,-0.1,-0.3,,0.9,0.7,1.0,2.8,1.8,,,,,,,,,,,,,,,TITAN,,
2,GOODS,DIXON,13922,NSE:DIXON,14091,-0.8,1.2,,16.9,2.2,2.9,,-0.2,-0.1,3.1,2.0,1.7,,,,,,,,,,,,,,,DIXON,,
2,BFSI,AUBANK,1051,NSE:AUBANK,1066,-0.1,1.4,,1.5,-0.7,-1.7,,-0.2,-0.8,0.0,3.0,1.7,,,,,,,,,,,,,,,AUBANK,,
2,PHARMA,CIPLA,1447,NSE:CIPLA,1467,0.3,1.3,,-1.4,1.8,1.5,,0.9,0.3,#N/A,1.9,1.6,,,,,,,,,,,,,#N/A,,CIPLA,,
,BFSI,IRFC,87,NSE:IRFC,89,-0.1,1.5,,-3.7,2.3,1.7,,3.3,2.6,1.7,2.2,1.5,,,,,,,,,,,,,,,IRFC,,
1,AUTO,MARUTI,13805,NSE:MARUTI,14101,0.5,2.1,,-2.5,0.9,2.7,,2.1,2.1,2.6,1.7,1.5,,,,,,,,,,,,,,,MARUTI,,
1,BFSI,AXISBANK,1224,NSE:AXISBANK,1242,0.3,1.5,,-9.4,1.0,0.6,,2.4,2.0,2.5,2.6,1.5,,,,,,,,,,,,,,,AXISBANK,,
,METAL,NMDC,84,NSE:NMDC,87,2.2,2.9,,-1.3,2.3,1.3,,-1.0,0.6,1.9,2.0,1.4,,,,,,,,,,,,,,,NMDC,,
,PHARMA,FORTIS,946,NSE:FORTIS,961,0.7,1.6,,-1.1,0.3,0.1,,-0.9,-2.3,-2.3,-3.0,1.4,,,,,,,,,,,,,,,FORTIS,,
1,GENERAL,INDIGO,5278,NSE:INDIGO,5338,0.2,1.1,,-1.2,0.0,-1.1,,2.1,0.8,2.7,1.0,1.3,,,,,,,,,,,,,,,INDIGO,,
,BFSI,MANAPPURAM,362,NSE:MANAPPURAM,370,1.0,2.3,,12.0,2.4,1.6,,0.5,-1.5,#N/A,0.3,1.3,,,,,,,,,,,,,#N/A,,MANAPPURAM,,
,PHARMA,ZYDUSLIFE,1101,NSE:ZYDUSLIFE,1122,0.6,1.9,,-1.1,1.9,1.6,,1.3,1.8,0.9,0.2,1.3,,,,,,,,,,,,,,,ZYDUSLIFE,,
3,FMCG,DMART,3851,NSE:DMART,3963,1.8,2.9,,-11.8,-0.1,0.9,,4.0,3.8,2.8,2.4,1.3,,,,,,,,,,,,,,,DMART,,
2,BFSI,POLICYBZR,1592,NSE:POLICYBZR,1628,1.4,2.3,,-2.9,1.1,0.1,,2.3,0.3,2.2,-0.1,1.2,,,,,,,,,,,,,,,POLICYBZR,,
,PHARMA,TORNTPHARM,4893,NSE:TORNTPHARM,4900,-0.6,0.1,,5.2,-0.3,-0.1,,2.6,2.8,2.0,1.5,1.1,,,,,,,,,,,,,,,TORNTPHARM,,
3,COMN,INDUSTOWER,381,NSE:INDUSTOWER,376,-2.7,-1.3,,-3.1,1.5,3.1,,2.9,2.5,1.7,1.4,1.1,,,,,,,,,,,,,,,INDUSTOWER,,
3,REALITY,POLYCAB,9125,NSE:POLYCAB,9308,1.0,2.0,,-8.5,-0.9,-2.5,,-1.0,0.5,0.8,1.9,1.0,,,,,,,,,,,,,,,POLYCAB,,
,SOLAR POWER,WAAREEENER,2690,NSE:WAAREEENER,2714,-0.2,0.9,,-8.9,1.4,-2.1,,-0.3,-0.5,#N/A,-0.8,1.0,,,,,,,,,,,,,#N/A,,WAAREEENER,,
1,BFSI,KOTAKBANK,386,NSE:KOTAKBANK,388,-0.7,0.6,,-2.6,0.9,0.5,,1.7,2.3,3.0,2.5,0.9,,,,,,,,,,,,,,,KOTAKBANK,,
2,POWER,COALINDIA,411,NSE:COALINDIA,413,-0.5,0.6,,-6.7,-0.1,1.7,,1.0,1.0,0.8,0.5,0.8,,,,,,,,,,,,,,,COALINDIA,,
,FMCG,NYKAA,329,NSE:NYKAA,330,-0.7,0.3,,5.2,-0.5,1.5,,3.8,2.4,#N/A,0.9,0.8,,,,,,,,,,,,,#N/A,,NYKAA,,
