Liq,SECTOR,"10-08-26
 09:07:51",JAN,SCRIP,TODAY,"TODAY
CHNG",CHART,CHNG,2Jan,27Jan,24 Feb,30Mar,28 Apr,26 May,30 June,28Jul,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25
2,PHARMA,LUPIN,2113,NSE:LUPIN,2371,-0.6,,12.2,-0.2,2.1,6.6,9.4,9.0,6.8,14.5,13.5,16.2,14.5,,12.4,12.6,12.8,13.0,12.2,,,,,,,,,,,,
5,PHARMA,GLENMARK,2041,NSE:GLENMARK,2285,0.7,,11.9,1.5,-1.7,1.5,4.0,17.4,15.6,8.1,6.9,11.0,8.1,,8.5,8.6,10.7,10.5,11.9,,,,,,,,,,,,
,PHARMA,MANKIND,2201,NSE:MANKIND,2455,1.4,,11.5,0.0,-4.8,-6.4,-8.7,2.9,9.7,16.1,19.0,17.5,16.8,,12.5,11.5,10.9,10.2,11.5,,,,,,,,,,,,
2,BFSI,SHRIRAMFIN,1000,NSE:SHRIRAMFIN,1115,-2.3,,11.5,1.0,0.1,6.5,-13.1,-4.8,-4.7,4.6,4.5,4.4,2.9,,8.0,8.0,11.6,13.8,11.5,,,,,,,,,,,,
5,BFSI,SAMMAANCAP,147,NSE:SAMMAANCAP,163,-2.3,,11.3,1.1,-5.5,5.3,1.3,-2.6,14.5,18.5,11.0,10.4,8.9,,9.6,9.1,10.0,13.7,11.3,,,,,,,,,,,,
2,DEFENCE,HAL,4413,NSE:HAL,4908,-0.3,,11.2,0.1,-1.0,-10.4,-20.9,-1.4,0.5,-0.8,4.1,3.8,4.0,,5.5,5.1,5.0,11.8,11.2,,,,,,,,,,,,
T,BFSI,SBIN,987,NSE:SBIN,1097,1.1,,11.1,1.8,6.2,24.3,-0.6,10.8,-1.8,4.3,2.8,2.7,3.7,,4.8,4.7,6.8,10.0,11.1,,,,,,,,,,,,
2,GOODS,PIDILITIND,1494,NSE:PIDILITIND,1660,-1.5,,11.1,-1.2,-3.5,-0.6,-13.7,-6.6,-1.1,6.6,8.9,9.1,9.1,,8.9,8.1,10.2,11.6,11.1,,,,,,,,,,,,
,BFSI,NUVAMA,1485,NSE:NUVAMA,1648,-0.6,,11.0,-1.0,-16.2,-13.8,-24.2,-6.8,1.0,22.0,21.2,23.0,21.2,,18.9,14.4,13.0,12.7,11.0,,,,,,,,,,,,
,FMCG,PAGEIND,36000,NSE:PAGEIND,39880,-0.4,,10.8,-0.7,-11.5,-7.3,-10.6,4.2,6.6,15.2,12.4,12.1,14.5,,11.5,10.7,10.9,10.8,10.8,,,,,,,,,,,,
